menge;p_artikel-p_artikelnr;Lagerort;reservierteMenge;Lagerstandort;mengeFuerAuftraege
50;P01-55297609;420;0;10004;0
82;P02-55297609;420;0;10004;0
60;P03-55297609;420;0;10004;0
56;P01-62027129;420;0;10004;0
51;P02-62027129;420;0;10004;0
141;P01-46560518;420;0;10004;0
135;P02-46560518;420;0;10004;0
52;P01-46661412;420;0;10004;0
51;P02-46661412;420;0;10004;0
377;P02-38975107;420;0;10004;0
308;P01-38975107;420;0;10004;0
211;P01-29921853;420;0;10004;0
378;P02-29921853;420;0;10004;0
105;P01-75670023;420;0;10004;0
67;P02-75670023;420;0;10004;0
100;P03-23231129;420;0;10004;0
40;P01-23231129;420;0;10004;0
73;P02-23231129;420;0;10004;0
153;P01-19680441;420;0;10004;0
134;P02-19680441;420;0;10004;0
120;P03-19680441;420;0;10004;0
68;P02-65750264;420;0;10004;0
96;P01-82847222;420;0;10004;0
67;P02-82847222;420;0;10004;0
126;P03-43021725;420;0;10004;0
60;P01-43021725;420;0;10004;0
155;P02-43021725;420;0;10004;0
70;P01-59732858;420;0;10004;0
109;P02-59732858;420;0;10004;0
119;P01-44511711;420;0;10004;0
180;P02-44511711;420;0;10004;0
3;P02-44511711;430;0;10004;0
72;P02-98028048;420;0;10004;0
105;P01-10101062;420;0;10004;0
50;P02-10101062;420;0;10004;0
67;P02-36114329;420;0;10004;0
89;P01-36114329;420;0;10004;0
62;P01-86094313;420;0;10004;0
80;P02-86094313;420;0;10004;0
1;P02-86094313;430;0;10004;0
52;P02-57482263;420;0;10004;0
60;P01-57482263;420;0;10004;0
128;P01-38619965;420;0;10004;0
72;P02-38619965;420;0;10004;0
48;P01-55410825;420;0;10004;0
101;P02-55410825;420;0;10004;0
200;P01-53853312;420;0;10004;0
191;P02-53853312;420;0;10004;0
65;P01-31350961;420;0;10004;0
100;P02-31350961;420;0;10004;0
82;P02-22049132;420;0;10004;0
36;P01-22049132;420;0;10004;0
52;P01-27185942;420;0;10004;0
60;P02-27185942;420;0;10004;0
40;P01-60496029;420;0;10004;0
60;P02-60496029;420;0;10004;0
51;P01-56934239;420;0;10004;0
42;P01-35974639;420;0;10004;0
26;P01-50459333;420;0;10004;0
20;P01-49100741;420;0;10004;0
31;P02-49100741;420;0;10004;0
40;P03-16707911;420;0;10004;0
32;P04-16707911;420;0;10004;0
34;P01-16707911;420;0;10004;0
32;P02-16707911;420;0;10004;0
88;P01-11949911;420;0;10004;0
117;P02-11949911;420;0;10004;0
20;P03-91289134;420;0;10004;0
20;P04-91289134;420;0;10004;0
15;P01-91289134;420;0;10004;0
16;P02-91289134;420;0;10004;0
168;P01-23823927;420;0;10004;0
168;P02-23823927;420;0;10004;0
168;P04-23823927;420;0;10004;0
168;P03-23823927;420;0;10004;0
26;P01-77697114;420;0;10004;0
11;P03-77697114;420;0;10004;0
30;P01-90676755;420;0;10004;0
32;P02-90676755;420;0;10004;0
354;P02-79800150;410;0;10004;0
354;P03-79800150;410;0;10004;0
353;P01-79800150;410;0;10004;0
2;P02-34149641;420;0;10004;0
1;P01-34149641;430;0;10004;0
1530;P03-67627112;420;0;10004;0
1521;P02-67627112;420;0;10004;0
1489;P01-67627112;420;0;10004;0
232;P01-16131461;410;0;10004;0
232;P03-16131461;410;0;10004;0
232;P02-16131461;410;0;10004;0
180;P01-27196434;420;0;10004;0
180;P02-27196434;420;0;10004;0
132;P01-70047714;420;0;10004;0
132;P02-70047714;420;0;10004;0
384;P01-57097536;410;0;10004;0
8;P02-57097536;420;0;10004;0
384;P02-57097536;410;0;10004;0
90;P01-90638020;410;0;10004;0
90;P02-90638020;410;0;10004;0
160;P02-82042815;410;0;10004;0
